	CLAWS2 TAGLIST

	(The second column of tags, containing an asterisk, are known
	as 'cover tags', and are used in the development of automatic
	parsing techniques.  They are not relevant to the task of
	post-editing.  They are include for interest because they do
	occur in some types of CLAWS2 output)


	!	.*	punctuation tag - exclamation mark
	"	"	punctuation tag - quotation marks
	RA	R*	adverb, after nominal head (else, galore)
	REX	R*	adverb introducing appositional constructions
				(namely, viz, eg.)
	RG	RG*	degree adverb (very, so, too)
	RGA	R*	post-nominal/adverbial/adjectival degree adverb
				(indeed, enough)
	RGQ	RGQ*	wh- degree adverb (how)
	RGQV	RGQ*	wh-ever degree adverb (however)
	RGR	RGR*	comparative degree adverb (more, less)
	RGT	RG*	superlative degree adverb (most, least)
	RL	R*	locative adverb (alongside, forward)
	RP	RP*	prep. adverb; particle (in, up, about)
	RPK	RP*	prep. adv., catenative ('about' in 'be about to')
	RR	R*	general adverb
	RRQ	R*Q	wh- general adverb (where, when, why, how)
	RRQV	R*Q	wh-ever general adverb (wherever, whenever)
	RRR	R*R	comparative general adverb (better, longer)
	RRT	R*	superlative general adverb (best, longest)
	RT	NR*	nominal adverb of time (now, tommorow)
	TO	TO*	infinitive marker (to)
  	UH	UH*	interjection (oh, yes, um)
  	VB0	VB0*	be
  	VBDR	VB0*	were
  	VBDZ  	VB0*	was
  	VBG	VBG*	being
  	VBM	VB0*	am
  	VBN	VBN*	been
  	VBR	VB0*    are
  	VBZ	VB0*	is
  	VD0	VD0*	do
  	VDD	VD0*	did
  	VDG	VDG*	doing
  	VDN 	VDN*	done
  	VDZ	VD0*	does
  	VH0	VH0*	have
  	VHD	VH0*	had (past tense)
  	VHG	VHG*	having
  	VHN	VHN*	had (past participle)
  	VHZ	VH0*	has
  	VM	VD0*	modal auxiliary (can, will, would etc.)
  	VMK	VD0*    modal catenative (ought, used)
  	VV0	VV0*	base form of lexical verb (give, work etc.)
  	VVD	VV0*	past tense form of lexical verb (gave, worked etc.)
  	VVG	VVG*	-ing form of lexical verb (giving, working etc.)
  	VVN	VVN*	past participle form of lexical verb (given,
				worked etc.)
  	VVZ	VV0*	-s form of lexical verb (gives, works etc.)
  	VVGK	VVG*	-ing form in a catenative verb ('going' in
				'be going to')
  	VVNK	VVN*	past part. in a catenative verb ('bound' in 
				'be bound to')
  	XX	XX*	not, n't
  	ZZ1	N*	singular letter of the alphabet:'A', 'a', 'B', etc.
  	ZZ2	N*	plural letter of the alphabet: 'As', b's, etc. 
 


	NOTE: "DITTO TAGS"

	Any of the tags listed above may in theory be modified by the 
	addition of a pair of numbers to it: eg. DD21, DD22.
	This signifies that the tag occurs as part of a sequence of similar
	tags, representing a sequence of words which for grammatical purposes
	are treated as a single unit. For example the expression "in terms of"
	is treated as a single preposition, receiving the tags:
 
			 in_II31 terms_II32 of_II33 

	The first of the two digits indicates the number of words/tags
	in the sequence, and the second digit the position of each
	word within that sequence.

	Such "ditto tags" are not included in the lexicon, but are
	assigned automatically by a program called "IDIOMTAG" which
	looks for a range of multi-word sequences included in the
	"idiomlist".  The following sample entries from the idiomlist
	show that syntactic ambiguity is taken into account, and also
	that, depending on the context, ditto-tags may or may not be
	required for a particular word sequence:

			at_RR21 length_RR22
			a_DD21/RR21 lot_DD22/RR22
			in_CS21/II that_CS22/DD1 



